Date,Steps,"Total Floors","Floors Ascended","Floors Descended",
9/13/16,1144,0,0,0
9/12/16,5066,0,0,0
9/11/16,8331,0,0,0
9/10/16,9706,0,0,0
9/9/16,13827,0,0,0
9/8/16,8907,0,0,0
9/7/16,2230,0,0,0
9/6/16,3725,0,0,0
9/5/16,2739,0,0,0
9/4/16,596,0,0,0
9/3/16,1996,0,0,0
9/2/16,7938,0,0,0
9/1/16,2533,0,0,0
8/31/16,6289,0,0,0
8/30/16,1976,0,0,0
8/29/16,5871,0,0,0
8/28/16,3866,0,0,0
8/27/16,2193,0,0,0
8/26/16,2568,0,0,0
8/25/16,7855,0,0,0
8/24/16,6921,0,0,0
8/23/16,4010,0,0,0
8/22/16,4411,0,0,0
8/21/16,5004,0,0,0
8/20/16,4326,0,0,0
8/19/16,3839,0,0,0
8/5/16,5201,0,0,0
8/4/16,1707,0,0,0
8/3/16,2117,0,0,0
8/2/16,8242,0,0,0
8/1/16,5669,0,0,0
7/31/16,2056,0,0,0
7/30/16,9490,0,0,0
7/29/16,11162,0,0,0
7/28/16,8743,0,0,0
7/27/16,3796,0,0,0
7/26/16,10291,0,0,0
7/25/16,7663,0,0,0
7/24/16,0,0,0,0
7/23/16,0,0,0,0
7/22/16,0,0,0,0
7/21/16,0,0,0,0
7/20/16,0,0,0,0
7/19/16,0,0,0,0
6/24/16,155,0,0,0
6/23/16,3546,0,0,0
6/22/16,4175,0,0,0
6/21/16,2590,0,0,0
6/20/16,7496,0,0,0
6/19/16,3932,0,0,0
6/18/16,3175,0,0,0
6/17/16,12493,0,0,0
6/16/16,4567,0,0,0
6/15/16,3351,0,0,0
6/14/16,9133,0,0,0
6/13/16,10958,0,0,0
6/12/16,1757,0,0,0
6/11/16,3656,0,0,0
6/10/16,8675,0,0,0
6/9/16,4893,0,0,0
6/8/16,10485,0,0,0
6/7/16,11033,0,0,0
6/6/16,5457,0,0,0
6/5/16,906,0,0,0
6/4/16,7522,0,0,0
6/3/16,2652,0,0,0
6/2/16,11774,0,0,0
6/1/16,9194,0,0,0
5/31/16,25263,0,0,0
5/30/16,2738,0,0,0
5/29/16,1497,0,0,0
5/28/16,5595,0,0,0
5/27/16,9586,0,0,0
5/26/16,4828,0,0,0
5/25/16,6626,0,0,0
5/24/16,5414,0,0,0
5/23/16,5347,0,0,0
5/22/16,8646,0,0,0
5/21/16,3618,0,0,0
5/20/16,2172,0,0,0
5/19/16,3170,0,0,0
5/18/16,9657,0,0,0
5/17/16,7612,0,0,0
5/16/16,9138,0,0,0
5/15/16,6286,0,0,0
5/14/16,6459,0,0,0
5/13/16,10794,0,0,0
5/12/16,3348,0,0,0
5/11/16,10398,0,0,0
5/10/16,5613,0,0,0
5/9/16,4944,0,0,0
5/8/16,5338,0,0,0
5/7/16,14365,0,0,0
5/6/16,2675,0,0,0
5/5/16,9054,0,0,0
5/4/16,5496,0,0,0
5/3/16,5164,0,0,0
5/2/16,6072,0,0,0
5/1/16,1714,0,0,0
4/30/16,4897,0,0,0
4/29/16,6221,0,0,0
4/19/16,0,0,0,0
4/18/16,9454,0,0,0
4/17/16,2991,0,0,0
4/16/16,4691,0,0,0
4/15/16,2188,0,0,0
4/14/16,2112,0,0,0
4/13/16,2860,0,0,0
4/12/16,7908,0,0,0
4/11/16,11780,0,0,0
4/10/16,2353,0,0,0
4/9/16,2837,0,0,0
4/8/16,5195,0,0,0
4/7/16,1972,0,0,0
4/6/16,8600,0,0,0
4/5/16,8369,0,0,0
4/4/16,4120,0,0,0
4/3/16,4319,0,0,0
4/2/16,7444,0,0,0
4/1/16,3327,0,0,0
3/31/16,3408,0,0,0
3/23/16,2755,0,0,0
3/22/16,2267,0,0,0
3/21/16,2135,0,0,0
3/20/16,1081,0,0,0
3/19/16,4483,0,0,0
3/18/16,1788,0,0,0
3/17/16,4794,0,0,0
3/12/16,2444,0,0,0
3/11/16,2619,0,0,0
3/10/16,3740,0,0,0
3/9/16,3015,0,0,0
3/8/16,2921,0,0,0
3/7/16,2297,0,0,0
3/6/16,1774,0,0,0
2/11/16,2371,0,0,0
2/10/16,7855,0,0,0
2/9/16,3527,0,0,0
2/8/16,2758,0,0,0
2/7/16,1114,0,0,0
2/6/16,5680,0,0,0
2/5/16,2054,0,0,0
2/4/16,2158,0,0,0
2/3/16,2244,0,0,0
2/2/16,1847,0,0,0
2/1/16,1481,0,0,0
1/31/16,8354,0,0,0
1/30/16,6342,0,0,0
1/29/16,4305,0,0,0
1/28/16,5889,0,0,0
1/27/16,2802,0,0,0
1/26/16,1960,0,0,0
1/25/16,2670,0,0,0
1/24/16,2395,0,0,0
1/23/16,4195,0,0,0
12/16/15,0,0,0,0
12/15/15,11872,0,0,0
12/14/15,10156,0,0,0
12/13/15,3315,0,0,0
12/12/15,8809,0,0,0
12/11/15,3243,0,0,0
12/10/15,2634,0,0,0
12/9/15,2218,0,0,0
12/8/15,5966,0,0,0
12/3/15,57,0,0,0
12/2/15,2223,0,0,0
12/1/15,5811,0,0,0
11/30/15,2209,0,0,0
11/29/15,120,0,0,0
11/28/15,3357,0,0,0
11/27/15,2948,0,0,0
11/26/15,5342,0,0,0
11/15/15,1491,0,0,0
11/14/15,7875,0,0,0
11/13/15,1499,0,0,0
11/12/15,1894,0,0,0
11/11/15,1426,0,0,0
11/10/15,1841,0,0,0
11/9/15,2139,0,0,0
11/8/15,6015,0,0,0
11/7/15,4447,0,0,0
11/6/15,4101,0,0,0
11/5/15,4728,0,0,0
11/4/15,1662,0,0,0
11/3/15,7799,0,0,0
11/2/15,3824,0,0,0
11/1/15,1474,0,0,0
10/31/15,3922,0,0,0
10/30/15,6743,0,0,0
10/29/15,5708,0,0,0
10/28/15,9670,0,0,0
10/27/15,1249,0,0,0
10/26/15,689,0,0,0
10/25/15,10492,0,0,0
10/24/15,5351,0,0,0
10/23/15,8224,0,0,0
10/22/15,2619,0,0,0
10/21/15,7557,0,0,0
10/20/15,1601,0,0,0
10/19/15,4555,0,0,0
10/18/15,4188,0,0,0
10/17/15,2047,0,0,0
10/16/15,2518,0,0,0
10/15/15,2414,0,0,0
10/14/15,3014,0,0,0
10/13/15,5784,0,0,0
10/12/15,9283,0,0,0
10/11/15,1421,0,0,0
10/10/15,3072,0,0,0
10/9/15,5472,0,0,0
10/8/15,4598,0,0,0
10/7/15,10207,0,0,0
10/6/15,3021,0,0,0
10/5/15,9053,0,0,0
10/4/15,8454,0,0,0
10/3/15,12808,0,0,0
10/2/15,2420,0,0,0
10/1/15,7432,0,0,0
9/30/15,3804,0,0,0
9/29/15,6234,0,0,0
9/28/15,7380,0,0,0
9/27/15,784,0,0,0
9/26/15,2546,0,0,0
9/25/15,2111,0,0,0
9/24/15,1967,0,0,0
9/23/15,8861,0,0,0
9/22/15,1553,0,0,0
9/21/15,2986,0,0,0
9/20/15,398,0,0,0
9/19/15,2769,0,0,0
9/18/15,2313,0,0,0
9/17/15,4770,0,0,0
9/16/15,4310,0,0,0
9/15/15,4187,0,0,0
9/14/15,0,0,0,0
9/13/15,0,0,0,0
9/12/15,0,0,0,0
9/11/15,0,0,0,0
9/10/15,0,0,0,0
9/9/15,0,0,0,0
9/6/15,771,0,0,0
9/5/15,5991,0,0,0
9/4/15,2417,0,0,0
9/3/15,3047,0,0,0
9/2/15,1736,0,0,0
9/1/15,4110,0,0,0
8/31/15,9294,0,0,0
8/30/15,4085,0,0,0
8/4/15,0,0,0,0
8/3/15,6057,0,0,0
8/2/15,4742,0,0,0
8/1/15,6352,0,0,0
7/31/15,8676,0,0,0
7/30/15,5369,0,0,0
7/29/15,4725,0,0,0
7/28/15,5143,0,0,0
7/27/15,4310,0,0,0
7/26/15,3927,0,0,0
7/25/15,3768,0,0,0
7/24/15,5375,0,0,0
7/23/15,2964,0,0,0
7/22/15,5602,0,0,0
7/21/15,10024,0,0,0
7/20/15,9467,0,0,0
7/18/15,5178,0,0,0
7/18/15,9205,0,0,0
7/17/15,7638,0,0,0
7/16/15,8177,0,0,0
7/15/15,11302,0,0,0
7/14/15,9703,0,0,0
7/13/15,6465,0,0,0
7/12/15,11213,0,0,0
7/11/15,15660,0,0,0
7/10/15,17547,0,0,0
7/9/15,14781,0,0,0
7/8/15,12506,0,0,0
7/7/15,3179,0,0,0
7/6/15,8754,0,0,0
7/5/15,656,0,0,0
7/4/15,2475,0,0,0
7/3/15,1089,0,0,0
7/2/15,8157,0,0,0
7/1/15,2920,0,0,0
6/30/15,2338,0,0,0
6/29/15,2230,0,0,0
6/28/15,2933,0,0,0
6/27/15,3852,0,0,0
6/26/15,14712,0,0,0
6/25/15,10026,0,0,0
6/24/15,7570,0,0,0
6/23/15,9012,0,0,0
6/22/15,10939,0,0,0
6/21/15,2290,0,0,0
6/20/15,5056,0,0,0
6/19/15,8458,0,0,0
6/18/15,5731,0,0,0
6/17/15,4449,0,0,0
6/16/15,1913,0,0,0
6/15/15,8497,0,0,0
6/14/15,2039,0,0,0
6/13/15,4860,0,0,0
6/12/15,5486,0,0,0
6/11/15,2060,0,0,0
6/10/15,6371,0,0,0
6/9/15,2817,0,0,0
6/8/15,8235,0,0,0
6/7/15,1770,0,0,0
6/6/15,8529,0,0,0
6/5/15,8726,0,0,0
6/4/15,8846,0,0,0
6/3/15,11116,0,0,0
6/2/15,10184,0,0,0
6/1/15,11145,0,0,0
5/31/15,4194,0,0,0
5/30/15,5835,0,0,0
5/29/15,3473,0,0,0
5/28/15,5169,0,0,0
5/27/15,646,0,0,0
5/25/15,1149,0,0,0
5/24/15,4379,0,0,0
5/23/15,6155,0,0,0
5/22/15,9575,0,0,0
5/21/15,5218,0,0,0
5/20/15,17373,0,0,0
5/19/15,6344,0,0,0
5/18/15,6235,0,0,0
5/17/15,3045,0,0,0
5/16/15,3026,0,0,0
5/15/15,2750,0,0,0
5/14/15,2829,0,0,0
5/14/15,8517,0,0,0
5/13/15,1782,0,0,0
5/12/15,1854,0,0,0
5/11/15,2775,0,0,0
5/10/15,4963,0,0,0
5/9/15,9725,0,0,0
5/8/15,5220,0,0,0
5/7/15,2858,0,0,0
5/6/15,2871,0,0,0
5/5/15,4269,0,0,0
5/4/15,9323,0,0,0
5/3/15,3081,0,0,0
5/2/15,12648,0,0,0
5/1/15,8106,0,0,0
4/30/15,1262,0,0,0
4/29/15,7465,0,0,0
4/28/15,11198,0,0,0
4/27/15,5805,0,0,0
4/26/15,4904,0,0,0
4/25/15,2204,0,0,0
4/24/15,3843,0,0,0
4/23/15,9237,0,0,0
4/22/15,3233,0,0,0
4/21/15,3148,0,0,0
4/20/15,2395,0,0,0
4/19/15,1986,0,0,0
4/18/15,3336,0,0,0
4/17/15,7310,0,0,0
4/5/15,0,0,0,0
4/4/15,3407,0,0,0
4/3/15,2184,0,0,0
4/2/15,4628,0,0,0
4/1/15,7881,0,0,0
3/31/15,2407,0,0,0
3/30/15,2886,0,0,0
3/29/15,2260,0,0,0
3/28/15,2852,0,0,0
3/27/15,3390,0,0,0
3/26/15,4013,0,0,0
3/25/15,8385,0,0,0
3/24/15,2785,0,0,0
3/23/15,3108,0,0,0
3/22/15,1402,0,0,0
3/21/15,6859,0,0,0
3/20/15,2905,0,0,0
3/19/15,4730,0,0,0
3/18/15,2242,0,0,0
3/17/15,2067,0,0,0
3/16/15,2772,0,0,0
3/15/15,5881,0,0,0
3/14/15,3912,0,0,0
3/13/15,8346,0,0,0
3/12/15,6472,0,0,0
3/11/15,2647,0,0,0
3/10/15,9056,0,0,0
3/9/15,6275,0,0,0
3/8/15,1822,0,0,0
3/7/15,7975,0,0,0
3/6/15,2710,0,0,0
3/5/15,10070,0,0,0
3/4/15,5674,0,0,0
3/3/15,2643,0,0,0
3/2/15,2882,0,0,0
3/1/15,2221,0,0,0
2/28/15,2815,0,0,0
2/27/15,4417,0,0,0
2/26/15,3230,0,0,0
2/25/15,7908,0,0,0
2/24/15,9515,0,0,0
2/23/15,3553,0,0,0
2/22/15,641,0,0,0
2/21/15,1209,0,0,0
2/20/15,3016,0,0,0
2/19/15,2618,0,0,0
2/18/15,1856,0,0,0
2/17/15,3332,0,0,0
2/16/15,1056,0,0,0
2/15/15,4836,0,0,0
2/14/15,6622,0,0,0
2/13/15,9412,0,0,0
2/12/15,7495,0,0,0
2/11/15,10738,0,0,0
